datetime,city,aqicn,aqius,maincn,mainus,temperature,humidity,pressure,wind_speed,wind_direction
2026-07-16 08:07:36,Jakarta,59,117,p2,p2,32,56,1012,5.28,70
2026-07-16 10:52:04,Jakarta,53,105,p2,p2,31,63,1012,4.72,70
2026-07-16 12:16:10,Jakarta,50,99,p2,p2,30,66,1013,3.61,80
2026-07-16 14:54:12,Jakarta,55,110,p2,p2,29,75,1013,2.5,100
2026-07-16 16:12:21,Jakarta,53,106,p2,p2,28,79,1014,2.5,120
2026-07-16 17:59:55,Jakarta,55,109,p2,p2,28,79,1013,1.94,120
2026-07-16 19:21:06,Jakarta,82,154,p2,p2,27,84,1013,1.67,140
2026-07-16 20:50:01,Jakarta,78,152,p2,p2,27,84,1013,1.67,130
2026-07-16 21:58:51,Jakarta,74,147,p2,p2,27,84,1012,1.11,130
